,0.5_AUC,0.5_F1,0.5_MCC,0.5_AUC,0.5_F1,0.5_MCC,custom_AUC,custom_F1,custom_MCC,custom_AUC,custom_F1,custom_MCC,FRS_Threshold,CHEL_Threshold
0_1,0.812380688214851,0.7383720930232558,0.4927025909059523,0.34231029810298097,0.0,0.0,0.812380688214851,0.7611336032388665,0.4935072404039944,0.34231029810298097,0.04347826086956522,0.1443100718085776,0.49,0.49
0_2,0.7975982639625383,0.7232796486090776,0.46819417018000425,0.3799119241192412,0.0,0.0,0.7975982639625383,0.7578947368421053,0.4733410202440736,0.3799119241192412,0.12587412587412586,0.05633752746051279,0.49,0.35000000000000003
0_3,0.7201373819119254,0.625,0.3343091189740469,0.3753726287262873,0.0,0.0,0.7201373819119254,0.625,0.3343091189740469,0.3753726287262873,0.038461538461538464,0.03223297362802327,0.5,0.45
0_4,0.7973453637683761,0.684931506849315,0.4243740884167337,0.5315379403794038,0.0,0.0,0.7973453637683761,0.736111111111111,0.4581010098363696,0.5315379403794038,0.1460446247464503,0.08775344386388673,0.49,0.38
1_0,0.6142821222026653,0.46808510638297873,0.14245191209575897,0.418111753371869,0.0,-0.013958622828317738,0.6142821222026653,0.6294416243654822,0.21800394155552083,0.418111753371869,0.07741935483870968,0.08356416285543279,0.46,0.34
1_2,0.5558209705808398,0.4736842105263158,0.0903686088732947,0.48265895953757226,0.0,-0.01979615922483107,0.5558209705808398,0.6183574879227053,0.16458969030711953,0.48265895953757226,0.07453416149068323,0.07328116169475252,0.45,0.28
1_3,0.6437012823736485,0.5641025641025641,0.22998267623512372,0.4710982658959537,0.0,-0.02431402545746797,0.6437012823736485,0.6250000000000001,0.26806390458690044,0.4710982658959537,0.09523809523809522,0.055695970554594854,0.48,0.45
1_4,0.6264772441538848,0.5194805194805195,0.16044962596446882,0.5684007707129095,0.0,-0.02431402545746797,0.6264772441538848,0.673076923076923,0.30158635431907144,0.5684007707129095,0.15384615384615383,0.130998016636033,0.45,0.44
2_0,0.7707847707847708,0.7019867549668874,0.4815375283306851,0.4574850299401198,0.0,0.0,0.7707847707847708,0.6349206349206349,0.48244262240568525,0.4574850299401198,0.0909090909090909,0.0313461368266895,0.52,0.44
2_1,0.7343952343952345,0.6666666666666667,0.433836972293197,0.6616766467065868,0.0,-0.02615999989536,0.7343952343952345,0.6470588235294118,0.4470929008170757,0.6616766467065868,0.1739130434782609,0.16524156340601318,0.51,0.36
2_3,0.7381507381507383,0.6478873239436619,0.42151831200659706,0.4413173652694611,0.0,-0.02615999989536,0.7381507381507383,0.6412213740458015,0.4632338251121124,0.4413173652694611,0.12962962962962962,0.07203025379859916,0.52,0.34
2_4,0.6855736855736856,0.609271523178808,0.3197189773131318,0.5275449101796408,0.0,-0.018445287572759806,0.6855736855736856,0.5645161290322581,0.3821743792609109,0.5275449101796408,0.13793103448275862,0.1364895888006288,0.53,0.29
3_0,0.6471380471380471,0.5185185185185186,0.22311092895820206,0.7178451178451178,0.0,0.0,0.6471380471380471,0.638095238095238,0.2451854747019201,0.7178451178451178,0.28571428571428575,0.26605802146688,0.45,0.41000000000000003
3_1,0.7377777777777778,0.5714285714285715,0.3200378765462651,0.6033670033670033,0.0,-0.035824886041591925,0.7377777777777778,0.6798029556650247,0.36388444683111465,0.6033670033670033,0.16666666666666666,0.11492127270955815,0.44,0.43
3_2,0.712053872053872,0.5373134328358208,0.2590947268630152,0.6228956228956228,0.0,0.0,0.712053872053872,0.632258064516129,0.33804630785445605,0.6228956228956228,0.1702127659574468,0.12778467793152368,0.48,0.4
3_4,0.7292929292929293,0.5671641791044776,0.30812407158750094,0.6397306397306397,0.0,-0.025184310025465735,0.7292929292929293,0.67,0.3385358265753823,0.6397306397306397,0.1568627450980392,0.16593796989601722,0.45,0.34
4_0,0.6887796887796888,0.6164383561643835,0.3366237581164256,0.4696969696969697,0.0,0.0,0.6887796887796888,0.6164383561643835,0.3366237581164256,0.4696969696969697,0.13333333333333333,0.06926205117761033,0.5,0.33
4_1,0.6823641823641824,0.5362318840579711,0.23290432034499234,0.54320987654321,0.0,0.0,0.6823641823641824,0.6380368098159509,0.3256483927640317,0.54320987654321,0.17391304347826086,0.11533373656391045,0.47000000000000003,0.44
4_2,0.617936117936118,0.4748201438848921,0.12535962332218298,0.5022446689113356,0.0,-0.03461585013559572,0.617936117936118,0.2758620689655173,0.28537772152087126,0.5022446689113356,0.1360544217687075,0.0781432898810421,0.58,0.29
4_3,0.613841113841114,0.4782608695652174,0.1361056478652718,0.4298540965207632,0.0,-0.028180959638988225,0.613841113841114,0.6232558139534884,0.20124048545070425,0.4298540965207632,0.14193548387096777,0.11693824944736193,0.43,0.29
